GO	Ensembl	Names
GO:1901606	ENSG00000106049:ENSG00000115919:ENSG00000117305:ENSG00000119689:ENSG00000120053:ENSG00000128683:ENSG00000132541:ENSG00000150540:ENSG00000151498:ENSG00000153904:ENSG00000158104	HIBADH:KYNU:HMGCL:DLST:GOT1:GAD1:RIDA:HNMT:ACAD8:DDAH1:HPD
GO:0009063	ENSG00000106049:ENSG00000115919:ENSG00000116761:ENSG00000117305:ENSG00000119689:ENSG00000120053:ENSG00000128683:ENSG00000132541:ENSG00000150540:ENSG00000151498:ENSG00000153904:ENSG00000158104	HIBADH:KYNU:CTH:HMGCL:DLST:GOT1:GAD1:RIDA:HNMT:ACAD8:DDAH1:HPD
GO:0140014	ENSG00000011426:ENSG00000044090:ENSG00000068796:ENSG00000080986:ENSG00000090889:ENSG00000101972:ENSG00000107443:ENSG00000109805:ENSG00000112576:ENSG00000112742:ENSG00000113328:ENSG00000127564:ENSG00000130177:ENSG00000130640:ENSG00000133302:ENSG00000144535:ENSG00000149503:ENSG00000162063:ENSG00000164754:ENSG00000166851:ENSG00000175305:ENSG00000186185:ENSG00000233450:ENSG00000237649	ANLN:CUL7:KIF2A:NDC80:KIF4A:STAG2:CCNJ:NCAPG:CCND3:TTK:CCNG1:PKMYT1:CDC16:TUBGCP2:SLF1:DIS3L2:INCENP:CCNF:RAD21:PLK1:CCNE2:KIF18B:KIFC1:KIFC1
GO:0019081	ENSG00000011304:ENSG00000135829:ENSG00000175390:ENSG00000280606	PTBP1:DHX9:EIF3F:EIF3F
GO:0009081	ENSG00000106049:ENSG00000117305:ENSG00000126561:ENSG00000151498:ENSG00000173757	HIBADH:HMGCL:STAT5A:ACAD8:STAT5B
GO:0000380	ENSG00000011304:ENSG00000054118:ENSG00000076770:ENSG00000102081:ENSG00000116560:ENSG00000119707:ENSG00000135829:ENSG00000136527:ENSG00000188529	PTBP1:THRAP3:MBNL3:FMR1:SFPQ:RBM25:DHX9:TRA2B:SRSF10
GO:0006520	ENSG00000003989:ENSG00000047230:ENSG00000102172:ENSG00000106049:ENSG00000115919:ENSG00000116761:ENSG00000117305:ENSG00000119689:ENSG00000120053:ENSG00000126561:ENSG00000128683:ENSG00000132541:ENSG00000133943:ENSG00000134684:ENSG00000140105:ENSG00000149380:ENSG00000150540:ENSG00000151498:ENSG00000153904:ENSG00000158104:ENSG00000170275:ENSG00000173757:ENSG00000197930:ENSG00000243989	SLC7A2:CTPS2:SMS:HIBADH:KYNU:CTH:HMGCL:DLST:GOT1:STAT5A:GAD1:RIDA:C14orf159:YARS:WARS:P4HA3:HNMT:ACAD8:DDAH1:HPD:CRTAP:STAT5B:ERO1A:ACY1
GO:0009404	ENSG00000105755:ENSG00000116044:ENSG00000116761:ENSG00000145730	ETHE1:NFE2L2:CTH:PAM
GO:0006573	ENSG00000106049:ENSG00000126561:ENSG00000151498:ENSG00000173757	HIBADH:STAT5A:ACAD8:STAT5B
GO:0007088	ENSG00000011426:ENSG00000044090:ENSG00000080986:ENSG00000101972:ENSG00000107443:ENSG00000112576:ENSG00000112742:ENSG00000113328:ENSG00000127564:ENSG00000130177:ENSG00000133302:ENSG00000162063:ENSG00000164754:ENSG00000166851:ENSG00000175305	ANLN:CUL7:NDC80:STAG2:CCNJ:CCND3:TTK:CCNG1:PKMYT1:CDC16:SLF1:CCNF:RAD21:PLK1:CCNE2
GO:0000281	ENSG00000011426:ENSG00000044090:ENSG00000090889:ENSG00000111737:ENSG00000115306:ENSG00000124356:ENSG00000143543:ENSG00000149503:ENSG00000166851:ENSG00000184640:ENSG00000186522	ANLN:CUL7:KIF4A:RAB35:SPTBN1:STAMBP:JTB:INCENP:PLK1:SEPT9:SEPT10
GO:0032663	ENSG00000115306:ENSG00000127191:ENSG00000171867:ENSG00000172977:ENSG00000173757	SPTBN1:TRAF2:PRNP:KAT5:STAT5B
GO:0051783	ENSG00000011426:ENSG00000044090:ENSG00000080986:ENSG00000101972:ENSG00000107443:ENSG00000112576:ENSG00000112742:ENSG00000113328:ENSG00000127564:ENSG00000130177:ENSG00000133302:ENSG00000156509:ENSG00000162063:ENSG00000164754:ENSG00000166851:ENSG00000175305	ANLN:CUL7:NDC80:STAG2:CCNJ:CCND3:TTK:CCNG1:PKMYT1:CDC16:SLF1:FBXO43:CCNF:RAD21:PLK1:CCNE2
GO:0007051	ENSG00000068796:ENSG00000080986:ENSG00000090889:ENSG00000100345:ENSG00000101367:ENSG00000101972:ENSG00000112742:ENSG00000112877:ENSG00000123473:ENSG00000130640:ENSG00000141551:ENSG00000160299:ENSG00000166851:ENSG00000186399:ENSG00000233450:ENSG00000237649:ENSG00000283589	KIF2A:NDC80:KIF4A:MYH9:MAPRE1:STAG2:TTK:CEP72:STIL:TUBGCP2:CSNK1D:PCNT:PLK1:GOLGA8R:KIFC1:KIFC1:GOLGA8N
GO:0030193	ENSG00000003436:ENSG00000011422:ENSG00000116044:ENSG00000135919	TFPI:PLAUR:NFE2L2:SERPINE2
GO:1900046	ENSG00000003436:ENSG00000011422:ENSG00000116044:ENSG00000135919	TFPI:PLAUR:NFE2L2:SERPINE2
GO:0006105	ENSG00000117118:ENSG00000126561:ENSG00000128683:ENSG00000173757	SDHB:STAT5A:GAD1:STAT5B
GO:0061045	ENSG00000003436:ENSG00000011422:ENSG00000103175:ENSG00000135919:ENSG00000167193	TFPI:PLAUR:WFDC1:SERPINE2:CRK
GO:0000280	ENSG00000011426:ENSG00000044090:ENSG00000068796:ENSG00000080986:ENSG00000090889:ENSG00000100814:ENSG00000101972:ENSG00000107443:ENSG00000109805:ENSG00000112576:ENSG00000112742:ENSG00000113328:ENSG00000127564:ENSG00000130177:ENSG00000130640:ENSG00000133302:ENSG00000144535:ENSG00000149503:ENSG00000156414:ENSG00000156509:ENSG00000162063:ENSG00000164754:ENSG00000166851:ENSG00000175305:ENSG00000186185:ENSG00000233450:ENSG00000237649	ANLN:CUL7:KIF2A:NDC80:KIF4A:CCNB1IP1:STAG2:CCNJ:NCAPG:CCND3:TTK:CCNG1:PKMYT1:CDC16:TUBGCP2:SLF1:DIS3L2:INCENP:TDRD9:FBXO43:CCNF:RAD21:PLK1:CCNE2:KIF18B:KIFC1:KIFC1
GO:0007010	ENSG00000011426:ENSG00000044090:ENSG00000044115:ENSG00000050820:ENSG00000062598:ENSG00000068796:ENSG00000071127:ENSG00000075618:ENSG00000075624:ENSG00000080986:ENSG00000086967:ENSG00000090889:ENSG00000100345:ENSG00000101367:ENSG00000101972:ENSG00000111057:ENSG00000112742:ENSG00000112877:ENSG00000114796:ENSG00000114999:ENSG00000115306:ENSG00000119729:ENSG00000123473:ENSG00000128283:ENSG00000130640:ENSG00000137460:ENSG00000138594:ENSG00000141380:ENSG00000141519:ENSG00000141551:ENSG00000142731:ENSG00000143545:ENSG00000145730:ENSG00000147894:ENSG00000157827:ENSG00000160299:ENSG00000162063:ENSG00000166025:ENSG00000166851:ENSG00000167193:ENSG00000167646:ENSG00000169504:ENSG00000169604:ENSG00000172830:ENSG00000175866:ENSG00000179604:ENSG00000184640:ENSG00000186185:ENSG00000186399:ENSG00000186522:ENSG00000197747:ENSG00000203485:ENSG00000233450:ENSG00000237649:ENSG00000283589	ANLN:CUL7:CTNNA1:BCAR1:ELMO2:KIF2A:WDR1:FSCN1:ACTB:NDC80:MYBPC2:KIF4A:MYH9:MAPRE1:STAG2:KRT18:TTK:CEP72:KLHL24:TTL:SPTBN1:RHOQ:STIL:CDC42EP1:TUBGCP2:FHDC1:TMOD3:SS18:CCDC40:CSNK1D:PLK4:RAB13:PAM:C9orf72:FMNL2:PCNT:CCNF:AMOTL1:PLK1:CRK:DNAAF3:CLIC4:ANTXR1:SSH3:BAIAP2:CDC42EP4:SEPT9:KIF18B:GOLGA8R:SEPT10:S100A10:INF2:KIFC1:KIFC1:GOLGA8N
GO:0000079	ENSG00000075624:ENSG00000107443:ENSG00000112576:ENSG00000113328:ENSG00000124762:ENSG00000127564:ENSG00000162063:ENSG00000166851:ENSG00000175305	ACTB:CCNJ:CCND3:CCNG1:CDKN1A:PKMYT1:CCNF:PLK1:CCNE2
GO:0061640	ENSG00000011426:ENSG00000044090:ENSG00000090889:ENSG00000111737:ENSG00000115306:ENSG00000124356:ENSG00000143543:ENSG00000149503:ENSG00000166851:ENSG00000184640:ENSG00000186522	ANLN:CUL7:KIF4A:RAB35:SPTBN1:STAMBP:JTB:INCENP:PLK1:SEPT9:SEPT10
GO:0006672	ENSG00000067182:ENSG00000104763:ENSG00000128973:ENSG00000143753:ENSG00000165389:ENSG00000196743:ENSG00000198951	TNFRSF1A:ASAH1:CLN6:DEGS1:SPTSSA:GM2A:NAGA
GO:0002183	ENSG00000063046:ENSG00000104408:ENSG00000140534:ENSG00000175390:ENSG00000280606	EIF4B:EIF3E:TICRR:EIF3F:EIF3F
GO:1903035	ENSG00000003436:ENSG00000011422:ENSG00000103175:ENSG00000135919:ENSG00000167193	TFPI:PLAUR:WFDC1:SERPINE2:CRK
GO:0050818	ENSG00000003436:ENSG00000011422:ENSG00000116044:ENSG00000135919	TFPI:PLAUR:NFE2L2:SERPINE2
GO:0006103	ENSG00000119689:ENSG00000120053:ENSG00000126561:ENSG00000173757	DLST:GOT1:STAT5A:STAT5B
GO:0051225	ENSG00000068796:ENSG00000090889:ENSG00000101367:ENSG00000101972:ENSG00000130640:ENSG00000141551:ENSG00000166851:ENSG00000186399:ENSG00000233450:ENSG00000237649:ENSG00000283589	KIF2A:KIF4A:MAPRE1:STAG2:TUBGCP2:CSNK1D:PLK1:GOLGA8R:KIFC1:KIFC1:GOLGA8N
GO:1904029	ENSG00000075624:ENSG00000107443:ENSG00000112576:ENSG00000113328:ENSG00000124762:ENSG00000127564:ENSG00000162063:ENSG00000166851:ENSG00000175305	ACTB:CCNJ:CCND3:CCNG1:CDKN1A:PKMYT1:CCNF:PLK1:CCNE2
