File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF001VJQ	bed narrowPeak	peaks	ENCSR000ECJ	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZKSCAN1-human	DNA		see document	see document		False	2012-05-14	ENCODE												608513	Michael Snyder, Stanford	a62517a561fbc2cd33a08b0bb38b8112		https://www.encodeproject.org/files/ENCFF001VJQ/@@download/ENCFF001VJQ.bed.gz	hg19			released	low read length	biological replicates with identical biosample, missing derived_from		
ENCFF002CTO	bed narrowPeak	optimal idr thresholded peaks	ENCSR000ECJ	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZKSCAN1-human	DNA		see document	see document		False	2012-05-14	ENCODE												108760	ENCODE Consortium Analysis Working Group	5599b7953ea928f46244fadce1a07df5		https://www.encodeproject.org/files/ENCFF002CTO/@@download/ENCFF002CTO.bed.gz	hg19			released	low read length	biological replicates with identical biosample, missing derived_from		
ENCFF429XQI	bed narrowPeak	optimal idr thresholded peaks	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF280BJI, ENCFF419RSJ, ENCFF461AMQ, ENCFF810XCD	62685	ENCODE Processing Pipeline	c80c3182503410a6ef5c34d81d577eb0		https://www.encodeproject.org/files/ENCFF429XQI/@@download/ENCFF429XQI.bed.gz	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF810XCD	bed narrowPeak	peaks and background as input for IDR	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF210QWJ, ENCFF459QXO, ENCFF466OUZ, ENCFF714ZPY	5756042	ENCODE Processing Pipeline	eb26686f129aa34560cf7f238ac6799e		https://www.encodeproject.org/files/ENCFF810XCD/@@download/ENCFF810XCD.bed.gz	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF280BJI	bed narrowPeak	peaks and background as input for IDR	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				3							ENCFF466OUZ, ENCFF714ZPY	4551514	ENCODE Processing Pipeline	046b44f7cff197fa98bb99fdeffbf6c6		https://www.encodeproject.org/files/ENCFF280BJI/@@download/ENCFF280BJI.bed.gz	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF461AMQ	bed narrowPeak	peaks and background as input for IDR	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1							ENCFF210QWJ, ENCFF459QXO	4058330	ENCODE Processing Pipeline	e3bd572a56433fe7e6166b0fd78ff416		https://www.encodeproject.org/files/ENCFF461AMQ/@@download/ENCFF461AMQ.bed.gz	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF179BYY	bed narrowPeak	conservative idr thresholded peaks	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF280BJI, ENCFF419RSJ, ENCFF461AMQ, ENCFF810XCD	51865	ENCODE Processing Pipeline	3699c0269f5e7f01bd1fac2131b11154		https://www.encodeproject.org/files/ENCFF179BYY/@@download/ENCFF179BYY.bed.gz	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF979YOQ	bed narrowPeak	peaks and background as input for IDR	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				3							ENCFF252WWC, ENCFF939XHK	4558384	ENCODE Processing Pipeline	d67f7c6f60c7ce8334aed5c21272da2e		https://www.encodeproject.org/files/ENCFF979YOQ/@@download/ENCFF979YOQ.bed.gz	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF233ITG	bed narrowPeak	peaks and background as input for IDR	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF252WWC, ENCFF316UXC, ENCFF407ZMZ, ENCFF939XHK	5855620	ENCODE Processing Pipeline	62da1f150d87cad5ed004706c66b1773		https://www.encodeproject.org/files/ENCFF233ITG/@@download/ENCFF233ITG.bed.gz	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF491ZMR	bed narrowPeak	peaks and background as input for IDR	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1							ENCFF316UXC, ENCFF407ZMZ	4054862	ENCODE Processing Pipeline	973d1132b60ecc98df357eb532c91f46		https://www.encodeproject.org/files/ENCFF491ZMR/@@download/ENCFF491ZMR.bed.gz	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
