File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF000XNK	bam	alignments	ENCSR000ECJ	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZKSCAN1-human	DNA		see document	see document		False	2012-05-14	ENCODE				1							ENCFF000XNN	456908124	Michael Snyder, Stanford	29409cf082fd577a85913da0142f7538		https://www.encodeproject.org/files/ENCFF000XNK/@@download/ENCFF000XNK.bam	hg19			released	low read length	biological replicates with identical biosample		
ENCFF000XNL	bam	alignments	ENCSR000ECJ	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZKSCAN1-human	DNA		see document	see document		False	2012-05-14	ENCODE				2							ENCFF000XNP	475222486	Michael Snyder, Stanford	7a590cd79d7994a453525c9977da6dd3		https://www.encodeproject.org/files/ENCFF000XNL/@@download/ENCFF000XNL.bam	hg19			released	low read length	biological replicates with identical biosample		
ENCFF000XNM	bigBed narrowPeak	peaks	ENCSR000ECJ	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZKSCAN1-human	DNA		see document	see document		False	2012-05-14	ENCODE											ENCFF001VJQ	1678868	Michael Snyder, Stanford	bf83b0c567d7b2e5e88fd3bd4f5d59ce		https://www.encodeproject.org/files/ENCFF000XNM/@@download/ENCFF000XNM.bigBed	hg19			released	low read length	biological replicates with identical biosample		
ENCFF000XNN	fastq	reads	ENCSR000ECJ	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZKSCAN1-human	DNA		see document	see document		False	2012-05-14	ENCODE				1	1	36		single-ended				869798130	Michael Snyder, Stanford	ebdf27196c75ee317bff0e781c31edaa		https://www.encodeproject.org/files/ENCFF000XNN/@@download/ENCFF000XNN.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000XKW/	released	low read length, inconsistent control read length	biological replicates with identical biosample		
ENCFF000XNP	fastq	reads	ENCSR000ECJ	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZKSCAN1-human	DNA		see document	see document		False	2012-05-14	ENCODE				2	1	36		single-ended				853429108	Michael Snyder, Stanford	ba560c4081c55061351debba43b59405		https://www.encodeproject.org/files/ENCFF000XNP/@@download/ENCFF000XNP.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000XKW/	released	low read length, inconsistent control read length	biological replicates with identical biosample		
ENCFF000XNR	bigWig	signal	ENCSR000ECJ	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZKSCAN1-human	DNA		see document	see document		False	2012-05-14	ENCODE												359809898	Michael Snyder, Stanford	e54fe0491a930edc44bd877c30282d7c		https://www.encodeproject.org/files/ENCFF000XNR/@@download/ENCFF000XNR.bigWig	hg19			released	low read length	biological replicates with identical biosample, missing derived_from		
ENCFF001VJQ	bed narrowPeak	peaks	ENCSR000ECJ	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZKSCAN1-human	DNA		see document	see document		False	2012-05-14	ENCODE												608513	Michael Snyder, Stanford	a62517a561fbc2cd33a08b0bb38b8112		https://www.encodeproject.org/files/ENCFF001VJQ/@@download/ENCFF001VJQ.bed.gz	hg19			released	low read length	biological replicates with identical biosample, missing derived_from		
ENCFF002CTO	bed narrowPeak	optimal idr thresholded peaks	ENCSR000ECJ	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZKSCAN1-human	DNA		see document	see document		False	2012-05-14	ENCODE												108760	ENCODE Consortium Analysis Working Group	5599b7953ea928f46244fadce1a07df5		https://www.encodeproject.org/files/ENCFF002CTO/@@download/ENCFF002CTO.bed.gz	hg19			released	low read length	biological replicates with identical biosample, missing derived_from		
ENCFF262HYP	bigBed narrowPeak	optimal idr thresholded peaks	ENCSR000ECJ	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZKSCAN1-human	DNA		see document	see document		False	2012-05-14	ENCODE											ENCFF002CTO	322786	ENCODE Consortium	09a67a12698ca17d4a767ddb0b166d4f		https://www.encodeproject.org/files/ENCFF262HYP/@@download/ENCFF262HYP.bigBed	hg19			released	low read length	biological replicates with identical biosample		
ENCFF000XFN	bigWig	signal	ENCSR000EDI	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				rabbit-IgG-control-human	DNA		see document	see document		False	2011-10-29	ENCODE				1							ENCFF000XFO	468119611	Michael Snyder, Stanford	0c54248a36310a7ebe32943f76a07139		https://www.encodeproject.org/files/ENCFF000XFN/@@download/ENCFF000XFN.bigWig	hg19			archived			insufficient read length	
