UniqueCount	AmbigCount
0	0
0	0
0	0
13	72
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
5	0
2	0
3	0
4	0
0	0
0	24
0	0
0	0
0	0
0	0
0	0
0	0
63	1
0	0
0	0
0	0
0	0
0	0
0	0
0	31
0	4
0	0
2	0
0	0
0	2
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
3	1
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	24
0	0
0	0
0	0
0	0
0	0
3	0
0	12
0	0
0	1
0	23
1	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
2	0
0	0
2	0
0	0
1	0
0	0
0	0
7	0
0	2
0	0
0	0
0	0
0	0
9	3
0	0
19	0
0	0
5	1
0	0
0	0
7	2
0	0
1	0
1	0
0	2
0	0
6	0
0	0
1	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
6	0
3	0
6	0
1	0
0	1
12	5
0	0
0	0
0	1
3	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
2	0
0	0
0	0
0	0
0	0
26	0
0	0
0	0
0	0
3	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
1	196
0	0
0	0
6	0
0	0
1	0
1	0
3	0
0	0
3	0
0	0
1	0
0	0
0	11
0	0
1	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
9	0
0	2
3	0
0	670
0	0
0	0
13	0
0	0
0	0
0	0
0	0
2	0
0	0
1	1
14	0
7	0
0	0
0	0
0	0
0	1719
3	0
4	0
0	0
3	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
9	0
0	733
0	0
0	0
0	0
0	0
0	0
0	0
36	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
135	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	2
0	0
0	0
7	6
0	670
0	0
2	0
0	1
0	0
0	0
0	0
0	3
0	4
0	0
0	0
0	2
0	0
0	0
11	0
0	0
0	0
0	0
1	0
0	0
1	0
0	2
0	0
0	0
0	733
0	0
8	0
0	0
0	0
0	2
0	0
22	0
0	0
0	0
0	0
0	0
0	16
69	0
0	0
0	0
1	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
1	0
0	0
0	0
0	0
