UniqueCount	AmbigCount
0	0
0	0
0	0
9	99
0	2
0	0
0	0
0	0
0	0
1	0
0	0
5	0
0	0
0	0
4	0
0	0
0	0
2	0
0	0
0	25
0	0
0	0
0	0
0	0
0	0
0	0
62	1
0	0
0	0
0	0
1	0
0	0
0	0
0	47
0	2
0	0
9	0
0	0
7	2
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	0
3	2
0	0
8	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	25
0	0
0	0
0	0
0	0
1	0
2	0
0	11
0	1
0	0
1	15
1	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
2	0
6	0
2	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
4	0
0	1
0	0
0	0
0	0
0	0
10	7
0	0
23	0
0	0
5	1
0	0
0	0
2	0
0	0
1	0
3	0
0	3
0	0
8	0
0	0
1	0
0	0
0	1
2	0
4	0
0	0
0	0
0	0
2	0
0	0
6	0
0	0
1	0
4	0
1	0
7	0
7	0
0	0
16	1
0	0
0	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
1	0
0	0
6	0
0	0
0	0
0	0
0	0
17	0
0	0
0	0
1	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	211
0	0
0	0
7	0
0	0
0	0
1	0
1	0
0	0
7	0
0	0
0	0
0	0
0	14
0	0
1	0
0	0
0	0
2	0
1	0
1	0
0	0
1	0
0	0
2	0
0	0
0	0
0	0
12	0
0	3
0	0
0	673
0	0
0	0
5	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
17	0
7	0
4	0
0	0
0	0
0	1544
0	0
8	0
0	0
2	0
1	0
0	0
0	0
1	0
1	0
0	0
2	0
1	0
0	0
0	0
1	0
2	0
11	0
0	927
0	0
0	0
0	0
0	0
2	0
0	0
61	5
0	0
0	1
0	0
0	0
0	0
0	0
1	0
3	1
0	0
0	0
119	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	1
0	0
0	0
7	2
0	673
0	0
0	0
0	0
0	0
0	0
0	0
0	7
0	13
1	0
0	0
0	4
0	0
2	0
11	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
12	0
0	0
0	927
0	0
14	0
0	0
0	0
0	3
0	0
36	0
0	0
0	1
0	0
0	0
0	21
85	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
