"GO.ID" "Term" "Annotated" "Significant" "Expected" "Rank in Fisher.classic" "Fisher.elim" "Fisher.classic"
"1" "GO:1901605" "alpha-amino acid metabolic process" 44 20 8.2 1 "0.04386" "3.6e-05"
"2" "GO:0140014" "mitotic nuclear division" 64 24 11.93 2 "0.02741" "0.00026"
"3" "GO:0006520" "cellular amino acid metabolic process" 67 24 12.49 3 "0.13023" "0.00057"
"4" "GO:0000281" "mitotic cytokinesis" 22 11 4.1 4 "0.00081" "0.00081"
"5" "GO:0007010" "cytoskeleton organization" 203 55 37.84 5 "0.01451" "0.00129"
"6" "GO:0061640" "cytoskeleton-dependent cytokinesis" 23 11 4.29 6 "1.00000" "0.00130"
"7" "GO:1901606" "alpha-amino acid catabolic process" 23 11 4.29 7 "0.00130" "0.00130"
"8" "GO:0000380" "alternative mRNA splicing, via spliceoso..." 17 9 3.17 8 "0.08956" "0.00148"
"9" "GO:0009063" "cellular amino acid catabolic process" 27 12 5.03 9 "0.55617" "0.00175"
"10" "GO:0007051" "spindle organization" 46 17 8.58 10 "0.11966" "0.00247"
"11" "GO:0007088" "regulation of mitotic nuclear division" 39 15 7.27 11 "0.00280" "0.00280"
"12" "GO:0009081" "branched-chain amino acid metabolic proc..." 7 5 1.3 12 "0.33611" "0.00333"
"13" "GO:0051783" "regulation of nuclear division" 44 16 8.2 13 "0.63686" "0.00397"
"14" "GO:0051301" "cell division" 127 36 23.67 14 "0.09197" "0.00403"
"15" "GO:0006672" "ceramide metabolic process" 13 7 2.42 15 "0.00454" "0.00454"
"16" "GO:1903047" "mitotic cell cycle process" 182 48 33.93 16 "0.65877" "0.00476"
"17" "GO:0009404" "toxin metabolic process" 5 4 0.93 17 "0.00509" "0.00509"
"18" "GO:0006573" "valine metabolic process" 5 4 0.93 18 "0.00509" "0.00509"
"19" "GO:0000083" "regulation of transcription involved in ..." 5 4 0.93 19 "0.00509" "0.00509"
"20" "GO:0051225" "spindle assembly" 27 11 5.03 20 "0.00612" "0.00612"
"21" "GO:1903035" "negative regulation of response to wound..." 8 5 1.49 21 "1.00000" "0.00752"
"22" "GO:0061045" "negative regulation of wound healing" 8 5 1.49 22 "0.00752" "0.00752"
"23" "GO:0000381" "regulation of alternative mRNA splicing,..." 14 7 2.61 23 "0.00765" "0.00765"
"24" "GO:0033209" "tumor necrosis factor-mediated signaling..." 14 7 2.61 24 "0.00765" "0.00765"
"25" "GO:0000280" "nuclear division" 93 27 17.34 25 "0.27596" "0.00866"
"26" "GO:0071356" "cellular response to tumor necrosis fact..." 25 10 4.66 26 "0.33156" "0.01028"
"27" "GO:0007052" "mitotic spindle organization" 29 11 5.41 27 "0.01136" "0.01136"
"28" "GO:0000278" "mitotic cell cycle" 209 52 38.96 28 "0.71330" "0.01170"
"29" "GO:0090307" "mitotic spindle assembly" 15 7 2.8 29 "0.01208" "0.01208"
"30" "GO:0000079" "regulation of cyclin-dependent protein s..." 22 9 4.1 30 "0.01250" "0.01250"
"31" "GO:0039694" "viral RNA genome replication" 6 4 1.12 31 "0.01302" "0.01302"
"32" "GO:0031103" "axon regeneration" 6 4 1.12 32 "0.01302" "0.01302"
"33" "GO:0002183" "cytoplasmic translational initiation" 9 5 1.68 33 "0.01435" "0.01435"
"34" "GO:0010803" "regulation of tumor necrosis factor-medi..." 9 5 1.68 34 "0.01435" "0.01435"
"35" "GO:0009066" "aspartate family amino acid metabolic pr..." 9 5 1.68 35 "0.01435" "0.01435"
"36" "GO:0032663" "regulation of interleukin-2 production" 9 5 1.68 36 "0.01435" "0.01435"
"37" "GO:1904029" "regulation of cyclin-dependent protein k..." 23 9 4.29 37 "0.01724" "0.01724"
"38" "GO:0030036" "actin cytoskeleton organization" 89 25 16.59 38 "0.01741" "0.01741"
"39" "GO:0048285" "organelle fission" 103 28 19.2 39 "0.38838" "0.01912"
"40" "GO:0001505" "regulation of neurotransmitter levels" 43 14 8.02 40 "0.01980" "0.01980"
"41" "GO:0051099" "positive regulation of binding" 35 12 6.52 41 "0.01987" "0.01987"
"42" "GO:0000070" "mitotic sister chromatid segregation" 35 12 6.52 42 "0.01987" "0.01987"
"43" "GO:0000910" "cytokinesis" 35 12 6.52 43 "0.92894" "0.01987"
"44" "GO:0000375" "RNA splicing, via transesterification re..." 77 22 14.35 44 "0.17147" "0.02051"
"45" "GO:0006305" "DNA alkylation" 13 6 2.42 45 "0.02134" "0.02134"
"46" "GO:0006306" "DNA methylation" 13 6 2.42 46 "0.02134" "0.02134"
"47" "GO:0001885" "endothelial cell development" 10 5 1.86 47 "0.02438" "0.02438"
"48" "GO:0006687" "glycosphingolipid metabolic process" 10 5 1.86 48 "0.02438" "0.02438"
"49" "GO:0030193" "regulation of blood coagulation" 7 4 1.3 49 "0.02595" "0.02595"
"50" "GO:1900046" "regulation of hemostasis" 7 4 1.3 50 "0.02595" "0.02595"
"51" "GO:0050818" "regulation of coagulation" 7 4 1.3 51 "0.02595" "0.02595"
"52" "GO:0048016" "inositol phosphate-mediated signaling" 7 4 1.3 52 "0.02595" "0.02595"
"53" "GO:0006103" "2-oxoglutarate metabolic process" 7 4 1.3 53 "0.02595" "0.02595"
"54" "GO:0006105" "succinate metabolic process" 7 4 1.3 54 "0.02595" "0.02595"
"55" "GO:0031102" "neuron projection regeneration" 7 4 1.3 55 "0.02595" "0.02595"
"56" "GO:0019752" "carboxylic acid metabolic process" 171 42 31.88 56 "0.34080" "0.02782"
"57" "GO:0007346" "regulation of mitotic cell cycle" 134 34 24.98 57 "0.37472" "0.02914"
"58" "GO:0000819" "sister chromatid segregation" 45 14 8.39 58 "0.02940" "0.02940"
"59" "GO:0034612" "response to tumor necrosis factor" 29 10 5.41 59 "0.54267" "0.03113"
"60" "GO:0016079" "synaptic vesicle exocytosis" 14 6 2.61 60 "0.03161" "0.03161"
"61" "GO:0046395" "carboxylic acid catabolic process" 54 16 10.07 61 "0.69890" "0.03241"
"62" "GO:0016054" "organic acid catabolic process" 54 16 10.07 62 "0.69890" "0.03241"
"63" "GO:0000398" "mRNA splicing, via spliceosome" 76 21 14.17 63 "0.24248" "0.03336"
"64" "GO:0000377" "RNA splicing, via transesterification re..." 76 21 14.17 64 "0.24248" "0.03336"
"65" "GO:0030029" "actin filament-based process" 94 25 17.52 65 "0.03366" "0.03366"
"66" "GO:0022402" "cell cycle process" 285 65 53.13 66 "0.92498" "0.03505"
"67" "GO:1903034" "regulation of response to wounding" 18 7 3.36 67 "0.57762" "0.03586"
"68" "GO:0030865" "cortical cytoskeleton organization" 11 5 2.05 68 "0.03799" "0.03799"
"69" "GO:0032623" "interleukin-2 production" 11 5 2.05 69 "0.03799" "0.03799"
"70" "GO:0002064" "epithelial cell development" 30 10 5.59 70 "0.03919" "0.03919"
"71" "GO:0022414" "reproductive process" 194 46 36.16 71 "0.03919" "0.03919"
"72" "GO:0000003" "reproduction" 194 46 36.16 72 "0.03919" "0.03919"
