"GO.ID" "Term" "Annotated" "Significant" "Expected" "Rank in Fisher.classic" "Fisher.elim" "Fisher.classic"
"1" "GO:1901605" "alpha-amino acid metabolic process" 67 20 7.92 1 "0.11516" "5.3e-05"
"2" "GO:1901606" "alpha-amino acid catabolic process" 29 11 3.43 2 "0.00026" "0.00026"
"3" "GO:0009063" "cellular amino acid catabolic process" 34 12 4.02 3 "0.46129" "0.00031"
"4" "GO:0140014" "mitotic nuclear division" 104 24 12.3 4 "0.06226" "0.00079"
"5" "GO:0019081" "viral translation" 5 4 0.59 5 "0.00088" "0.00088"
"6" "GO:0009081" "branched-chain amino acid metabolic proc..." 9 5 1.06 6 "0.31259" "0.00190"
"7" "GO:0000380" "alternative mRNA splicing, via spliceoso..." 26 9 3.07 7 "0.00205" "0.00205"
"8" "GO:0006520" "cellular amino acid metabolic process" 112 24 13.25 8 "0.33442" "0.00236"
"9" "GO:0009404" "toxin metabolic process" 6 4 0.71 9 "0.00238" "0.00238"
"10" "GO:0006573" "valine metabolic process" 6 4 0.71 10 "0.00238" "0.00238"
"11" "GO:0007088" "regulation of mitotic nuclear division" 60 15 7.1 11 "0.00332" "0.00332"
"12" "GO:0000281" "mitotic cytokinesis" 38 11 4.49 12 "0.00341" "0.00341"
"13" "GO:0032663" "regulation of interleukin-2 production" 10 5 1.18 13 "0.00343" "0.00343"
"14" "GO:0051783" "regulation of nuclear division" 66 16 7.81 14 "0.52370" "0.00344"
"15" "GO:0007051" "spindle organization" 73 17 8.63 15 "0.12909" "0.00407"
"16" "GO:0030193" "regulation of blood coagulation" 7 4 0.83 16 "0.00504" "0.00504"
"17" "GO:1900046" "regulation of hemostasis" 7 4 0.83 17 "1.00000" "0.00504"
"18" "GO:0006105" "succinate metabolic process" 7 4 0.83 18 "0.00504" "0.00504"
"19" "GO:0061045" "negative regulation of wound healing" 11 5 1.3 19 "0.00569" "0.00569"
"20" "GO:0000280" "nuclear division" 141 27 16.68 20 "0.22606" "0.00682"
"21" "GO:0007010" "cytoskeleton organization" 340 55 40.21 21 "0.05157" "0.00759"
"22" "GO:0000079" "regulation of cyclin-dependent protein s..." 31 9 3.67 22 "0.00772" "0.00772"
"23" "GO:0061640" "cytoskeleton-dependent cytokinesis" 42 11 4.97 23 "1.00000" "0.00784"
"24" "GO:0006672" "ceramide metabolic process" 21 7 2.48 24 "0.00815" "0.00815"
"25" "GO:0002183" "cytoplasmic translational initiation" 12 5 1.42 25 "0.00882" "0.00882"
"26" "GO:1903035" "negative regulation of response to wound..." 12 5 1.42 26 "1.00000" "0.00882"
"27" "GO:0050818" "regulation of coagulation" 8 4 0.95 27 "1.00000" "0.00915"
"28" "GO:0006103" "2-oxoglutarate metabolic process" 8 4 0.95 28 "0.00915" "0.00915"
"29" "GO:0051225" "spindle assembly" 43 11 5.09 29 "0.00945" "0.00945"
"30" "GO:1904029" "regulation of cyclin-dependent protein k..." 32 9 3.78 30 "1.00000" "0.00964"
"31" "GO:1903047" "mitotic cell cycle process" 294 48 34.77 31 "0.42703" "0.01046"
"32" "GO:0000381" "regulation of alternative mRNA splicing,..." 22 7 2.6 32 "0.01076" "0.01076"
"33" "GO:0051301" "cell division" 210 36 24.84 33 "0.14049" "0.01223"
"34" "GO:0048285" "organelle fission" 155 28 18.33 34 "0.30721" "0.01316"
"35" "GO:0099640" "axo-dendritic protein transport" 5 3 0.59 35 "0.01368" "0.01368"
"36" "GO:0032185" "septin cytoskeleton organization" 5 3 0.59 36 "0.01368" "0.01368"
"37" "GO:0030195" "negative regulation of blood coagulation" 5 3 0.59 37 "0.01368" "0.01368"
"38" "GO:0098840" "protein transport along microtubule" 5 3 0.59 38 "0.01368" "0.01368"
"39" "GO:0045876" "positive regulation of sister chromatid ..." 5 3 0.59 39 "0.01368" "0.01368"
"40" "GO:1900047" "negative regulation of hemostasis" 5 3 0.59 40 "0.01368" "0.01368"
"41" "GO:0060008" "Sertoli cell differentiation" 5 3 0.59 41 "0.01368" "0.01368"
"42" "GO:0050819" "negative regulation of coagulation" 5 3 0.59 42 "0.01368" "0.01368"
"43" "GO:0009068" "aspartate family amino acid catabolic pr..." 5 3 0.59 43 "0.01368" "0.01368"
"44" "GO:0009074" "aromatic amino acid family catabolic pro..." 5 3 0.59 44 "0.01368" "0.01368"
"45" "GO:0043619" "regulation of transcription from RNA pol..." 5 3 0.59 45 "0.01368" "0.01368"
"46" "GO:0099118" "microtubule-based protein transport" 5 3 0.59 46 "0.01368" "0.01368"
"47" "GO:0031106" "septin ring organization" 5 3 0.59 47 "0.01368" "0.01368"
"48" "GO:0000921" "septin ring assembly" 5 3 0.59 48 "0.01368" "0.01368"
