"GO.ID" "Term" "Annotated" "Significant" "Expected" "Rank in Fisher.classic" "Fisher.elim" "Fisher.classic"
"1" "GO:0005516" "calmodulin binding" 18 9 3.35 1 "0.0024" "0.0024"
"2" "GO:0043177" "organic acid binding" 22 10 4.09 2 "1.0000" "0.0034"
"3" "GO:0031406" "carboxylic acid binding" 22 10 4.09 3 "0.0034" "0.0034"
"4" "GO:0060089" "molecular transducer activity" 93 28 17.3 4 "0.0042" "0.0042"
"5" "GO:0050662" "coenzyme binding" 58 19 10.79 5 "0.0065" "0.0065"
"6" "GO:0050839" "cell adhesion molecule binding" 100 29 18.61 6 "0.0066" "0.0066"
"7" "GO:0009055" "electron transfer activity" 25 10 4.65 7 "0.0101" "0.0101"
"8" "GO:0050660" "flavin adenine dinucleotide binding" 15 7 2.79 8 "0.0120" "0.0120"
"9" "GO:0038023" "signaling receptor activity" 78 23 14.51 9 "0.0120" "0.0120"
"10" "GO:0016701" "oxidoreductase activity, acting on singl..." 6 4 1.12 10 "0.0129" "0.0129"
"11" "GO:0016702" "oxidoreductase activity, acting on singl..." 6 4 1.12 11 "0.0129" "0.0129"
"12" "GO:0098631" "cell adhesion mediator activity" 12 6 2.23 12 "0.0135" "0.0135"
"13" "GO:0045296" "cadherin binding" 88 25 16.37 13 "0.0147" "0.0147"
"14" "GO:0003824" "catalytic activity" 997 206 185.51 14 "0.0180" "0.0180"
"15" "GO:0048037" "cofactor binding" 86 24 16 15 "0.6000" "0.0208"
"16" "GO:0004553" "hydrolase activity, hydrolyzing O-glycos..." 20 8 3.72 16 "0.0210" "0.0210"
"17" "GO:0051015" "actin filament binding" 20 8 3.72 17 "0.0210" "0.0210"
"18" "GO:0016491" "oxidoreductase activity" 114 30 21.21 18 "0.0238" "0.0238"
"19" "GO:0098641" "cadherin binding involved in cell-cell a..." 10 5 1.86 19 "0.0242" "0.0242"
"20" "GO:0098632" "cell-cell adhesion mediator activity" 10 5 1.86 20 "0.0242" "0.0242"
"21" "GO:0019842" "vitamin binding" 17 7 3.16 21 "0.0257" "0.0257"
"22" "GO:0004843" "thiol-dependent ubiquitin-specific prote..." 18 7 3.35 22 "0.0355" "0.0355"
"23" "GO:0005201" "extracellular matrix structural constitu..." 11 5 2.05 23 "0.0377" "0.0377"
"24" "GO:0035258" "steroid hormone receptor binding" 22 8 4.09 24 "0.0378" "0.0378"
"25" "GO:0003777" "microtubule motor activity" 22 8 4.09 25 "0.0378" "0.0378"
"26" "GO:0003779" "actin binding" 56 16 10.42 26 "0.0439" "0.0439"
"27" "GO:0043178" "alcohol binding" 15 6 2.79 27 "0.0443" "0.0443"
"28" "GO:0005496" "steroid binding" 15 6 2.79 28 "0.0443" "0.0443"
"29" "GO:0051537" "2 iron, 2 sulfur cluster binding" 5 3 0.93 29 "0.0476" "0.0476"
"30" "GO:0017075" "syntaxin-1 binding" 5 3 0.93 30 "0.0476" "0.0476"
"31" "GO:0017049" "GTP-Rho binding" 5 3 0.93 31 "0.0476" "0.0476"
"32" "GO:0004867" "serine-type endopeptidase inhibitor acti..." 5 3 0.93 32 "0.0476" "0.0476"
"33" "GO:0003774" "motor activity" 27 9 5.02 33 "0.0488" "0.0488"
"34" "GO:0005509" "calcium ion binding" 80 21 14.89 34 "0.0548" "0.0548"
"35" "GO:0016538" "cyclin-dependent protein serine/threonin..." 16 6 2.98 35 "0.0601" "0.0601"
"36" "GO:0005539" "glycosaminoglycan binding" 16 6 2.98 36 "0.0601" "0.0601"
"37" "GO:0008092" "cytoskeletal protein binding" 157 37 29.21 37 "0.0641" "0.0641"
"38" "GO:0044877" "protein-containing complex binding" 182 42 33.86 38 "0.0680" "0.0680"
"39" "GO:0015293" "symporter activity" 9 4 1.67 39 "0.0680" "0.0680"
"40" "GO:0099106" "ion channel regulator activity" 13 5 2.42 40 "0.0762" "0.0762"
"41" "GO:0042802" "identical protein binding" 294 64 54.7 41 "0.0818" "0.0818"
"42" "GO:0008138" "protein tyrosine/serine/threonine phosph..." 6 3 1.12 42 "0.0823" "0.0823"
"43" "GO:0098531" "transcription factor activity, direct li..." 6 3 1.12 43 "0.0823" "0.0823"
"44" "GO:0004879" "nuclear receptor activity" 6 3 1.12 44 "0.0823" "0.0823"
"45" "GO:0001221" "transcription cofactor binding" 6 3 1.12 45 "0.0823" "0.0823"
"46" "GO:0019783" "ubiquitin-like protein-specific protease..." 30 9 5.58 46 "0.0891" "0.0891"
"47" "GO:0016829" "lyase activity" 30 9 5.58 47 "0.0891" "0.0891"
"48" "GO:0016773" "phosphotransferase activity, alcohol gro..." 142 33 26.42 48 "0.0909" "0.0909"
"49" "GO:0016301" "kinase activity" 152 35 28.28 49 "0.0927" "0.0927"
"50" "GO:0101005" "ubiquitinyl hydrolase activity" 26 8 4.84 50 "0.0935" "0.0935"
"51" "GO:0036459" "thiol-dependent ubiquitinyl hydrolase ac..." 26 8 4.84 51 "0.0935" "0.0935"
"52" "GO:0016798" "hydrolase activity, acting on glycosyl b..." 26 8 4.84 52 "0.0935" "0.0935"
"53" "GO:0015036" "disulfide oxidoreductase activity" 10 4 1.86 53 "0.0972" "0.0972"
"54" "GO:0050681" "androgen receptor binding" 10 4 1.86 54 "0.0972" "0.0972"
"55" "GO:0035254" "glutamate receptor binding" 10 4 1.86 55 "0.0972" "0.0972"
"56" "GO:0070279" "vitamin B6 binding" 10 4 1.86 56 "0.0972" "0.0972"
"57" "GO:0030170" "pyridoxal phosphate binding" 10 4 1.86 57 "0.0972" "0.0972"
"58" "GO:0097110" "scaffold protein binding" 10 4 1.86 58 "0.0972" "0.0972"
"59" "GO:0005178" "integrin binding" 10 4 1.86 59 "0.0972" "0.0972"
"60" "GO:0008289" "lipid binding" 90 22 16.75 60 "0.0975" "0.0975"
"61" "GO:0035257" "nuclear hormone receptor binding" 35 10 6.51 61 "0.0995" "0.0995"
"62" "GO:0004713" "protein tyrosine kinase activity" 18 6 3.35 62 "0.1004" "0.1004"
"63" "GO:0030374" "nuclear receptor transcription coactivat..." 14 5 2.6 63 "0.1011" "0.1011"
"64" "GO:0051213" "dioxygenase activity" 14 5 2.6 64 "0.1011" "0.1011"
"65" "GO:0003713" "transcription coactivator activity" 68 17 12.65 65 "0.1142" "0.1142"
"66" "GO:0051427" "hormone receptor binding" 36 10 6.7 66 "0.1161" "0.1161"
"67" "GO:0008017" "microtubule binding" 50 13 9.3 67 "0.1223" "0.1223"
"68" "GO:0019199" "transmembrane receptor protein kinase ac..." 7 3 1.3 68 "0.1246" "0.1246"
"69" "GO:0015294" "solute:cation symporter activity" 7 3 1.3 69 "0.1246" "0.1246"
"70" "GO:0042974" "retinoic acid receptor binding" 7 3 1.3 70 "0.1246" "0.1246"
"71" "GO:0016247" "channel regulator activity" 15 5 2.79 71 "0.1296" "0.1296"
"72" "GO:0019901" "protein kinase binding" 137 31 25.49 72 "0.1299" "0.1299"
"73" "GO:0016830" "carbon-carbon lyase activity" 11 4 2.05 73 "0.1312" "0.1312"
"74" "GO:0008187" "poly-pyrimidine tract binding" 11 4 2.05 74 "0.1312" "0.1312"
"75" "GO:0016740" "transferase activity" 412 85 76.66 75 "0.1389" "0.1389"
"76" "GO:0032947" "protein-containing complex scaffold acti..." 24 7 4.47 76 "0.1423" "0.1423"
"77" "GO:0008168" "methyltransferase activity" 43 11 8 77 "0.1608" "0.1608"
"78" "GO:0019207" "kinase regulator activity" 43 11 8 78 "0.1608" "0.1608"
"79" "GO:0051287" "NAD binding" 16 5 2.98 79 "0.1612" "0.1612"
"80" "GO:0015085" "calcium ion transmembrane transporter ac..." 16 5 2.98 80 "0.1612" "0.1612"
"81" "GO:0019887" "protein kinase regulator activity" 34 9 6.33 81 "0.1660" "0.1660"
"82" "GO:0003712" "transcription coregulator activity" 121 27 22.51 82 "0.1692" "0.1692"
"83" "GO:0004725" "protein tyrosine phosphatase activity" 12 4 2.23 83 "0.1693" "0.1693"
"84" "GO:1990841" "promoter-specific chromatin binding" 12 4 2.23 84 "0.1693" "0.1693"
"85" "GO:0031369" "translation initiation factor binding" 8 3 1.49 85 "0.1729" "0.1729"
"86" "GO:0035255" "ionotropic glutamate receptor binding" 8 3 1.49 86 "0.1729" "0.1729"
"87" "GO:0005246" "calcium channel regulator activity" 8 3 1.49 87 "0.1729" "0.1729"
"88" "GO:0016597" "amino acid binding" 8 3 1.49 88 "0.1729" "0.1729"
"89" "GO:0016772" "transferase activity, transferring phosp..." 187 40 34.79 89 "0.1781" "0.1781"
"90" "GO:0008022" "protein C-terminus binding" 44 11 8.19 90 "0.1807" "0.1807"
"91" "GO:0008276" "protein methyltransferase activity" 21 6 3.91 91 "0.1812" "0.1812"
"92" "GO:0008170" "N-methyltransferase activity" 21 6 3.91 92 "0.1812" "0.1812"
"93" "GO:0004672" "protein kinase activity" 113 25 21.03 93 "0.1932" "0.1932"
"94" "GO:0004888" "transmembrane signaling receptor activit..." 59 14 10.98 94 "0.1939" "0.1939"
"95" "GO:0003743" "translation initiation factor activity" 13 4 2.42 95 "0.2107" "0.2107"
"96" "GO:0016627" "oxidoreductase activity, acting on the C..." 13 4 2.42 96 "0.2107" "0.2107"
"97" "GO:0019905" "syntaxin binding" 13 4 2.42 97 "0.2107" "0.2107"
"98" "GO:0035591" "signaling adaptor activity" 13 4 2.42 98 "0.2107" "0.2107"
