Gene stable ID	RefSeq mRNA ID	Gene name	Comments
ENSG00000181072	NM_000739	CHRM2	
ENSG00000182718	NM_001002857	ANXA2	
ENSG00000154611	NM_001025096	PSMA8	
ENSG00000122375	NM_001030015	OPN4	
ENSG00000198626	NM_001035	RYR2	
ENSG00000124006	NM_001173408	OBSL1	
ENSG00000101665	NM_001190823	SMAD7	
ENSG00000126351	NM_001190918	THRA	
ENSG00000161057	NM_001204453	PSMC2	
ENSG00000124762	NM_001220778	CDKN1A	
ENSG00000174672	NM_001256627	BRSK2	
ENSG00000167100	NM_001257359	SAMD14	
ENSG00000117748	NM_001286076	RPA2	
ENSG00000113721	NM_001355016	PDGFRB	
ENSG00000254772	NM_001404	EEF1G	
ENSG00000123999	NM_002191	INHA	
ENSG00000179295	NM_002834	PTPN11	
ENSG00000167202	NM_015079	TBC1D2B	
ENSG00000124535	NM_020135	WRNIP1	
ENSG00000055118	NM_172057	KCNH2	
ENSG00000233791	NR_034151	LINC01136	
ENSG00000111676	NM_001007026	ATN1	Had erroneous NM_001006626 ID in the supplementary material, corresponding to CHRM2.
ENSG00000172572	NM_000921	PDE3A	Had erroneous NM_001163977 ID in the supplementary material, corresponding to Equus cabalus PDE3A.
